country,state,city,ibgeID,deaths,totalCases,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,_source,date,newCases,newDeaths,last_info_date
Brazil,GO,Abadia de Goiás/GO,5200050,46,3072,502.29308,33544.44202,0.01497,MS,2022-06-03,30,0,2022-06-03
Brazil,MG,Abadia dos Dourados/MG,3100104,20,1546,284.81914,22016.51951,0.01294,MS,2022-06-03,12,0,2022-06-03
Brazil,GO,Abadiânia/GO,5200100,54,1604,258.70742,7684.56858,0.03367,MS,2022-06-03,2,0,2022-06-03
Brazil,PA,Abaetetuba/PA,1500107,237,10701,147.71969,6669.82467,0.02215,MS,2022-06-03,0,0,2022-06-03
Brazil,MG,Abaeté/MG,3100203,49,3231,210.63491,13889.00830,0.01517,MS,2022-06-03,1,0,2022-06-03
Brazil,CE,Abaiara/CE,2300101,19,989,158.79649,8265.77518,0.01921,MS,2022-06-03,0,0,2022-06-03
Brazil,BA,Abaré/BA,2900207,17,2245,82.54832,10901.23337,0.00757,MS,2022-06-03,0,0,2022-06-03
Brazil,PR,Abatiá/PR,4100103,23,1589,312.50000,21589.67391,0.01447,MS,2022-06-03,0,0,2022-06-03
Brazil,BA,Abaíra/BA,2900108,17,333,195.82997,3835.96360,0.05105,MS,2022-06-03,0,0,2022-06-03
Brazil,SC,Abdon Batista/SC,4200051,4,509,157.85320,20086.81926,0.00786,MS,2022-06-03,0,0,2022-06-03
Brazil,PA,Abel Figueiredo/PA,1500131,12,1411,159.23567,18723.46072,0.00850,MS,2022-06-03,0,0,2022-06-03
Brazil,SC,Abelardo Luz/SC,4200101,68,2292,377.46323,12722.73106,0.02967,MS,2022-06-03,1,0,2022-06-03
Brazil,MG,Abre Campo/MG,3100302,19,1926,141.43219,14336.75748,0.00987,MS,2022-06-03,0,0,2022-06-03
Brazil,PE,Abreu e Lima/PE,2600054,257,4739,255.21857,4706.15107,0.05423,MS,2022-06-03,0,0,2022-06-03
Brazil,TO,Abreulândia/TO,1700251,8,447,306.63089,17133.00115,0.01790,MS,2022-06-03,0,0,2022-06-03
Brazil,MG,Acaiaca/MG,3100401,12,270,300.37547,6758.44806,0.04444,MS,2022-06-03,0,0,2022-06-03
Brazil,BA,Acajutiba/BA,2900306,26,628,170.89523,4127.77705,0.04140,MS,2022-06-03,0,0,2022-06-03
Brazil,CE,Acarape/CE,2300150,36,3175,237.78071,20970.93791,0.01134,MS,2022-06-03,0,0,2022-06-03
Brazil,CE,Acaraú/CE,2300200,121,6588,190.38328,10365.66178,0.01837,MS,2022-06-03,0,0,2022-06-03
Brazil,RN,Acari/RN,2400109,25,1330,225.10355,11975.50873,0.01880,MS,2022-06-03,0,0,2022-06-03
Brazil,PA,Acará/PA,1500206,42,2440,75.34443,4377.15270,0.01721,MS,2022-06-03,0,0,2022-06-03
Brazil,PI,Acauã/PI,2200053,2,228,28.09383,3202.69701,0.00877,MS,2022-06-03,0,0,2022-06-03
Brazil,RS,Aceguá/RS,4300034,8,867,160.61032,17406.14334,0.00923,MS,2022-06-03,2,0,2022-06-03
Brazil,CE,Acopiara/CE,2300309,164,5254,299.88846,9607.40212,0.03121,MS,2022-06-03,0,0,2022-06-03
Brazil,MT,Acorizal/MT,5100102,24,1196,452.06254,22527.78301,0.02007,MS,2022-06-03,3,0,2022-06-03
Brazil,AC,Acrelândia/AC,1200013,40,2892,254.43674,18395.77635,0.01383,MS,2022-06-03,0,0,2022-06-03
Brazil,GO,Acreúna/GO,5200134,83,4772,365.47776,21012.76970,0.01739,MS,2022-06-03,2,0,2022-06-03
Brazil,SP,Adamantina/SP,3500105,171,8492,486.44497,24157.25543,0.02014,MS,2022-06-03,0,0,2022-06-03
Brazil,GO,Adelândia/GO,5200159,5,522,198.80716,20755.46720,0.00958,MS,2022-06-03,0,0,2022-06-03
Brazil,SP,Adolfo/SP,3500204,23,681,648.80113,19210.15515,0.03377,MS,2022-06-03,0,0,2022-06-03
Brazil,PR,Adrianópolis/PR,4100202,30,1900,517.50906,32775.57357,0.01579,MS,2022-06-03,2,0,2022-06-03
Brazil,BA,Adustina/BA,2900355,28,1367,162.70556,7943.51793,0.02048,MS,2022-06-03,0,0,2022-06-03
Brazil,PE,Afogados da Ingazeira/PE,2600104,79,8052,210.40857,21445.69328,0.00981,MS,2022-06-03,0,0,2022-06-03
Brazil,RN,Afonso Bezerra/RN,2400307,19,1176,172.35123,10667.63425,0.01616,MS,2022-06-03,0,0,2022-06-03
Brazil,ES,Afonso Cláudio/ES,3200102,83,7311,273.69254,24108.02612,0.01135,MS,2022-06-03,0,0,2022-06-03
Brazil,MA,Afonso Cunha/MA,2100105,3,301,45.24204,4539.28518,0.00997,MS,2022-06-03,0,1,2022-06-03
Brazil,PE,Afrânio/PE,2600203,16,1362,80.07607,6816.47565,0.01175,MS,2022-06-03,0,0,2022-06-03
Brazil,PA,Afuá/PA,1500305,17,3490,42.59584,8744.67552,0.00487,MS,2022-06-03,0,0,2022-06-03
Brazil,PE,Agrestina/PE,2600302,73,2604,289.22345,10316.95721,0.02803,MS,2022-06-03,0,0,2022-06-03
Brazil,PI,Agricolândia/PI,2200103,10,829,195.19813,16181.92465,0.01206,MS,2022-06-03,0,0,2022-06-03
Brazil,SC,Agrolândia/SC,4200200,33,2267,295.69892,20313.62007,0.01456,MS,2022-06-03,0,0,2022-06-03
Brazil,SC,Agronômica/SC,4200309,15,1195,269.29982,21454.21903,0.01255,MS,2022-06-03,1,0,2022-06-03
Brazil,MG,Aguanil/MG,3100807,8,1297,175.55409,28461.70726,0.00617,MS,2022-06-03,0,0,2022-06-03
Brazil,SP,Aguaí/SP,3500303,133,6083,359.64414,16448.98732,0.02186,MS,2022-06-03,0,0,2022-06-03
Brazil,RS,Agudo/RS,4300109,37,3281,226.38277,20074.64513,0.01128,MS,2022-06-03,2,0,2022-06-03
Brazil,PR,Agudos do Sul/PR,4100301,34,1550,355.38831,16201.52608,0.02194,MS,2022-06-03,3,0,2022-06-03
Brazil,SP,Agudos/SP,3500709,120,6762,319.30179,17992.65606,0.01775,MS,2022-06-03,0,0,2022-06-03
Brazil,PB,Aguiar/PB,2500205,7,848,124.51085,15083.60014,0.00825,MS,2022-06-03,0,0,2022-06-03
Brazil,TO,Aguiarnópolis/TO,1700301,15,962,212.79614,13647.32586,0.01559,MS,2022-06-03,0,0,2022-06-03
Brazil,MG,Aimorés/MG,3101102,88,3410,350.37426,13577.00271,0.02581,MS,2022-06-03,0,0,2022-06-03
Brazil,BA,Aiquara/BA,2900603,12,608,273.53545,13859.12925,0.01974,MS,2022-06-03,0,0,2022-06-03
Brazil,CE,Aiuaba/CE,2300408,16,1184,90.99181,6733.39399,0.01351,MS,2022-06-03,0,0,2022-06-03
Brazil,MG,Aiuruoca/MG,3101201,13,881,218.52412,14809.21163,0.01476,MS,2022-06-03,0,0,2022-06-03
Brazil,RS,Ajuricaba/RS,4300208,37,2045,532.29751,29420.22731,0.01809,MS,2022-06-03,1,0,2022-06-03
Brazil,PB,Alagoa Grande/PB,2500304,78,5418,274.80271,19088.21871,0.01440,MS,2022-06-03,0,0,2022-06-03
Brazil,PB,Alagoa Nova/PB,2500403,37,2787,176.25762,13276.48628,0.01328,MS,2022-06-03,0,0,2022-06-03
Brazil,MG,Alagoa/MG,3101300,8,664,301.09146,24990.59089,0.01205,MS,2022-06-03,0,0,2022-06-03
Brazil,PI,Alagoinha do Piauí/PI,2200251,13,402,169.31493,5235.73847,0.03234,MS,2022-06-03,0,0,2022-06-03
Brazil,PB,Alagoinha/PB,2500502,26,2442,177.72917,16692.87033,0.01065,MS,2022-06-03,0,0,2022-06-03
Brazil,PE,Alagoinha/PE,2600609,31,2655,209.48777,17941.61373,0.01168,MS,2022-06-03,12,0,2022-06-03
Brazil,BA,Alagoinhas/BA,2900702,351,17547,229.37728,11466.90367,0.02000,MS,2022-06-03,0,0,2022-06-03
Brazil,SP,Alambari/SP,3500758,13,1228,208.63425,19707.91205,0.01059,MS,2022-06-03,0,0,2022-06-03
Brazil,MG,Albertina/MG,3101409,11,654,364.84245,21691.54229,0.01682,MS,2022-06-03,0,0,2022-06-03
Brazil,PB,Alcantil/PB,2500536,9,1237,162.83698,22381.03854,0.00728,MS,2022-06-03,0,0,2022-06-03
Brazil,MS,Alcinópolis/MS,5000252,14,845,255.05557,15394.42521,0.01657,MS,2022-06-03,0,0,2022-06-03
Brazil,BA,Alcobaça/BA,2900801,32,2246,142.16536,9978.23093,0.01425,MS,2022-06-03,0,0,2022-06-03
Brazil,MA,Alcântara/MA,2100204,20,337,90.39139,1523.09500,0.05935,MS,2022-06-03,0,-1,2022-06-03
Brazil,CE,Alcântaras/CE,2300507,23,2207,194.15837,18630.76144,0.01042,MS,2022-06-03,0,0,2022-06-03
Brazil,MA,Aldeias Altas/MA,2100303,14,1159,51.89221,4295.93387,0.01208,MS,2022-06-03,0,0,2022-06-03
Brazil,RS,Alecrim/RS,4300307,13,618,227.67075,10823.11734,0.02104,MS,2022-06-03,2,0,2022-06-03
Brazil,ES,Alegre/ES,3200201,85,7400,284.57598,24774.85018,0.01149,MS,2022-06-03,8,0,2022-06-03
Brazil,PI,Alegrete do Piauí/PI,2200277,9,583,182.88966,11847.18553,0.01544,MS,2022-06-03,0,0,2022-06-03
Brazil,RS,Alegrete/RS,4300406,327,17235,451.07804,23774.70928,0.01897,MS,2022-06-03,20,0,2022-06-03
Brazil,RS,Alegria/RS,4300455,5,546,152.11439,16610.89139,0.00916,MS,2022-06-03,1,0,2022-06-03
Brazil,PA,Alenquer/PA,1500404,169,5275,294.47639,9191.49678,0.03204,MS,2022-06-03,0,0,2022-06-03
Brazil,RN,Alexandria/RN,2400505,33,2403,243.92047,17761.84493,0.01373,MS,2022-06-03,0,0,2022-06-03
Brazil,GO,Alexânia/GO,5200308,113,6127,398.44852,21604.37236,0.01844,MS,2022-06-03,19,0,2022-06-03
Brazil,MG,Alfenas/MG,3101607,247,21341,305.03995,26355.69881,0.01157,MS,2022-06-03,42,0,2022-06-03
Brazil,ES,Alfredo Chaves/ES,3200300,47,4364,320.38173,29747.78459,0.01077,MS,2022-06-03,5,0,2022-06-03
Brazil,SP,Alfredo Marcondes/SP,3500808,16,300,380.86170,7141.15687,0.05333,MS,2022-06-03,0,0,2022-06-03
Brazil,MG,Alfredo Vasconcelos/MG,3101631,16,1197,226.88599,16973.90811,0.01337,MS,2022-06-03,2,0,2022-06-03
Brazil,SC,Alfredo Wagner/SC,4200705,12,1448,118.38990,14285.71429,0.00829,MS,2022-06-03,0,0,2022-06-03
Brazil,PB,Algodão de Jandaíra/PB,2500577,1,471,38.63988,18199.38176,0.00212,MS,2022-06-03,0,0,2022-06-03
Brazil,PB,Alhandra/PB,2500601,47,3014,236.59703,15172.41379,0.01559,MS,2022-06-03,0,0,2022-06-03
Brazil,TO,Aliança do Tocantins/TO,1700350,25,1203,471.43127,22685.27249,0.02078,MS,2022-06-03,0,0,2022-06-03
Brazil,PE,Aliança/PE,2600708,82,2087,213.49719,5433.76380,0.03929,MS,2022-06-03,1,0,2022-06-03
Brazil,BA,Almadina/BA,2900900,13,771,246.53897,14621.65750,0.01686,MS,2022-06-03,0,0,2022-06-03
