date,country,state,city,newDeaths,deaths,newCases,totalCases,deathsMS,totalCasesMS
2020-02-25,Brazil,SP,TOTAL,0,0,1,1,0,0
2020-02-25,Brazil,TOTAL,TOTAL,0,0,1,1,0,0
2020-02-26,Brazil,SP,TOTAL,0,0,0,1,0,1
2020-02-26,Brazil,TOTAL,TOTAL,0,0,0,1,0,1
2020-02-27,Brazil,SP,TOTAL,0,0,0,1,0,1
2020-02-27,Brazil,TOTAL,TOTAL,0,0,0,1,0,1
2020-02-28,Brazil,SP,TOTAL,0,0,1,2,0,1
2020-02-28,Brazil,TOTAL,TOTAL,0,0,1,2,0,1
2020-02-29,Brazil,SP,TOTAL,0,0,0,2,0,2
2020-02-29,Brazil,TOTAL,TOTAL,0,0,0,2,0,2
2020-03-01,Brazil,SP,TOTAL,0,0,0,2,0,2
2020-03-01,Brazil,TOTAL,TOTAL,0,0,0,2,0,2
2020-03-02,Brazil,SP,TOTAL,0,0,0,2,0,2
2020-03-02,Brazil,TOTAL,TOTAL,0,0,0,2,0,2
2020-03-03,Brazil,SP,TOTAL,0,0,0,2,0,2
2020-03-03,Brazil,TOTAL,TOTAL,0,0,0,2,0,2
2020-03-04,Brazil,SP,TOTAL,0,0,1,3,0,3
2020-03-04,Brazil,TOTAL,TOTAL,0,0,1,3,0,3
2020-03-05,Brazil,RJ,TOTAL,0,0,1,1,0,1
2020-03-05,Brazil,SP,TOTAL,0,0,3,6,0,6
2020-03-05,Brazil,TOTAL,TOTAL,0,0,4,7,0,7
2020-03-06,Brazil,BA,TOTAL,0,0,1,1,0,1
2020-03-06,Brazil,ES,TOTAL,0,0,1,1,0,1
2020-03-06,Brazil,RJ,TOTAL,0,0,1,2,0,1
2020-03-06,Brazil,SP,TOTAL,0,0,4,10,0,10
2020-03-06,Brazil,TOTAL,TOTAL,0,0,7,14,0,13
2020-03-07,Brazil,BA,TOTAL,0,0,1,2,0,2
2020-03-07,Brazil,DF,TOTAL,0,0,1,1,0,1
2020-03-07,Brazil,ES,TOTAL,0,0,0,1,0,1
2020-03-07,Brazil,RJ,TOTAL,0,0,0,2,0,2
2020-03-07,Brazil,SP,TOTAL,0,0,3,13,0,13
2020-03-07,Brazil,TOTAL,TOTAL,0,0,5,19,0,19
2020-03-08,Brazil,AL,TOTAL,0,0,1,1,0,1
2020-03-08,Brazil,BA,TOTAL,0,0,0,2,0,2
2020-03-08,Brazil,DF,TOTAL,0,0,0,1,0,1
2020-03-08,Brazil,ES,TOTAL,0,0,0,1,0,1
2020-03-08,Brazil,MG,TOTAL,0,0,1,1,0,1
2020-03-08,Brazil,RJ,TOTAL,0,0,1,3,0,3
2020-03-08,Brazil,SP,TOTAL,0,0,3,16,0,16
2020-03-08,Brazil,TOTAL,TOTAL,0,0,6,25,0,25
2020-03-09,Brazil,AL,TOTAL,0,0,0,1,0,1
2020-03-09,Brazil,BA,TOTAL,0,0,0,2,0,2
2020-03-09,Brazil,DF,TOTAL,0,0,0,1,0,1
2020-03-09,Brazil,ES,TOTAL,0,0,0,1,0,1
2020-03-09,Brazil,MG,TOTAL,0,0,0,1,0,1
2020-03-09,Brazil,RJ,TOTAL,0,0,0,3,0,3
2020-03-09,Brazil,SP,TOTAL,0,0,0,16,0,16
2020-03-09,Brazil,TOTAL,TOTAL,0,0,0,25,0,25
2020-03-10,Brazil,AL,TOTAL,0,0,0,1,0,1
2020-03-10,Brazil,BA,TOTAL,0,0,0,2,0,2
2020-03-10,Brazil,DF,TOTAL,0,0,0,1,0,1
2020-03-10,Brazil,ES,TOTAL,0,0,0,1,0,1
2020-03-10,Brazil,MG,TOTAL,0,0,0,1,0,1
2020-03-10,Brazil,RJ,TOTAL,0,0,5,8,0,8
2020-03-10,Brazil,RS,TOTAL,0,0,1,1,0,1
2020-03-10,Brazil,SP,TOTAL,0,0,3,19,0,19
2020-03-10,Brazil,TOTAL,TOTAL,0,0,9,34,0,34
2020-03-11,Brazil,AL,TOTAL,0,0,0,1,0,1
2020-03-11,Brazil,BA,TOTAL,0,0,1,3,0,2
2020-03-11,Brazil,DF,TOTAL,0,0,1,2,0,2
2020-03-11,Brazil,ES,TOTAL,0,0,0,1,0,1
2020-03-11,Brazil,MG,TOTAL,0,0,0,1,0,1
2020-03-11,Brazil,RJ,TOTAL,0,0,5,13,0,13
2020-03-11,Brazil,RS,TOTAL,0,0,1,2,0,2
2020-03-11,Brazil,SP,TOTAL,0,0,11,30,0,30
2020-03-11,Brazil,TOTAL,TOTAL,0,0,19,53,0,52
2020-03-12,Brazil,AL,TOTAL,0,0,0,1,0,1
2020-03-12,Brazil,BA,TOTAL,0,0,0,3,0,2
2020-03-12,Brazil,DF,TOTAL,0,0,0,2,0,2
2020-03-12,Brazil,ES,TOTAL,0,0,0,1,0,1
2020-03-12,Brazil,GO,TOTAL,0,0,3,3,0,0
2020-03-12,Brazil,MG,TOTAL,0,0,1,2,0,1
2020-03-12,Brazil,PE,TOTAL,0,0,2,2,0,2
2020-03-12,Brazil,PR,TOTAL,0,0,6,6,0,6
2020-03-12,Brazil,RJ,TOTAL,0,0,3,16,0,16
2020-03-12,Brazil,RN,TOTAL,0,0,1,1,0,0
2020-03-12,Brazil,RS,TOTAL,0,0,2,4,0,4
2020-03-12,Brazil,SC,TOTAL,0,0,2,2,0,0
2020-03-12,Brazil,SP,TOTAL,0,0,16,46,0,42
2020-03-12,Brazil,TOTAL,TOTAL,0,0,36,89,0,77
2020-03-13,Brazil,AL,TOTAL,0,0,0,1,0,1
2020-03-13,Brazil,AM,TOTAL,0,0,2,2,0,0
2020-03-13,Brazil,BA,TOTAL,0,0,4,7,0,2
2020-03-13,Brazil,DF,TOTAL,0,0,0,2,0,2
2020-03-13,Brazil,ES,TOTAL,0,0,0,1,0,1
2020-03-13,Brazil,GO,TOTAL,0,0,0,3,0,3
2020-03-13,Brazil,MG,TOTAL,0,0,0,2,0,2
2020-03-13,Brazil,PE,TOTAL,0,0,0,2,0,2
2020-03-13,Brazil,PR,TOTAL,0,0,0,6,0,6
2020-03-13,Brazil,RJ,TOTAL,0,0,0,16,0,16
2020-03-13,Brazil,RN,TOTAL,0,0,0,1,0,1
2020-03-13,Brazil,RS,TOTAL,0,0,0,4,0,4
2020-03-13,Brazil,SC,TOTAL,0,0,1,3,0,2
2020-03-13,Brazil,SP,TOTAL,0,0,10,56,0,56
2020-03-13,Brazil,TOTAL,TOTAL,0,0,17,106,0,98
2020-03-14,Brazil,AL,TOTAL,0,0,0,1,0,1
2020-03-14,Brazil,AM,TOTAL,0,0,0,2,0,0
2020-03-14,Brazil,BA,TOTAL,0,0,0,7,0,2
2020-03-14,Brazil,DF,TOTAL,0,0,6,8,0,6
2020-03-14,Brazil,ES,TOTAL,0,0,0,1,0,1
2020-03-14,Brazil,GO,TOTAL,0,0,1,4,0,3
2020-03-14,Brazil,MG,TOTAL,0,0,2,4,0,2
2020-03-14,Brazil,MS,TOTAL,0,0,2,2,0,0
2020-03-14,Brazil,PE,TOTAL,0,0,5,7,0,2
2020-03-14,Brazil,PR,TOTAL,0,0,0,6,0,6
2020-03-14,Brazil,RJ,TOTAL,0,0,6,22,0,22
2020-03-14,Brazil,RN,TOTAL,0,0,0,1,0,1
2020-03-14,Brazil,RS,TOTAL,0,0,2,6,0,6
2020-03-14,Brazil,SC,TOTAL,0,0,2,5,0,4
2020-03-14,Brazil,SE,TOTAL,0,0,1,1,0,0
2020-03-14,Brazil,SP,TOTAL,0,0,9,65,0,65
2020-03-14,Brazil,TOTAL,TOTAL,0,0,36,142,0,121
2020-03-15,Brazil,AL,TOTAL,0,0,0,1,0,1
2020-03-15,Brazil,AM,TOTAL,0,0,0,2,0,1
2020-03-15,Brazil,BA,TOTAL,0,0,2,9,0,2
2020-03-15,Brazil,DF,TOTAL,0,0,6,14,0,8
2020-03-15,Brazil,ES,TOTAL,0,0,0,1,0,1
2020-03-15,Brazil,GO,TOTAL,0,0,0,4,0,3
2020-03-15,Brazil,MG,TOTAL,0,0,0,4,0,2
2020-03-15,Brazil,MS,TOTAL,0,0,0,2,0,0
2020-03-15,Brazil,PE,TOTAL,0,0,1,8,0,2
2020-03-15,Brazil,PR,TOTAL,0,0,0,6,0,6
2020-03-15,Brazil,RJ,TOTAL,0,0,2,24,0,24
2020-03-15,Brazil,RN,TOTAL,0,0,0,1,0,1
2020-03-15,Brazil,RS,TOTAL,0,0,0,6,0,6
2020-03-15,Brazil,SC,TOTAL,0,0,1,6,0,6
2020-03-15,Brazil,SE,TOTAL,0,0,0,1,0,1
2020-03-15,Brazil,SP,TOTAL,0,0,71,136,0,136
2020-03-15,Brazil,TOTAL,TOTAL,0,0,83,225,0,200
2020-03-16,Brazil,AL,TOTAL,0,0,0,1,0,1
2020-03-16,Brazil,AM,TOTAL,0,0,0,2,0,1
