type,name,lat,lon,total,total_per_100k_inhabitants
1,Abadia de Goiás/GO,-16.7572644,-49.4412205,2075,22657.78554
D1,Abadia de Goiás/GO,-16.7572644,-49.4412205,44,480.45425
1,Abadia dos Dourados/MG,-18.4911191,-47.4063589,739,10524.06722
D1,Abadia dos Dourados/MG,-18.4911191,-47.4063589,20,284.81914
1,Abadiânia/GO,-16.1940946,-48.7067767,620,2970.34446
D1,Abadiânia/GO,-16.1940946,-48.7067767,48,229.96215
1,Abaetetuba/PA,-1.721828,-48.878843,9954,6204.22715
D1,Abaetetuba/PA,-1.721828,-48.878843,227,141.48680
1,Abaeté/MG,-19.1566833,-45.4481213,1817,7810.68650
D1,Abaeté/MG,-19.1566833,-45.4481213,44,189.14156
1,Abaiara/CE,-7.3607808,-39.0487878,642,5365.64981
D1,Abaiara/CE,-7.3607808,-39.0487878,17,142.08107
1,Abaré/BA,-8.7239913,-39.1139689,1375,6676.70195
D1,Abaré/BA,-8.7239913,-39.1139689,12,58.26940
1,Abatiá/PR,-23.3052967,-50.3102532,1239,16834.23913
D1,Abatiá/PR,-23.3052967,-50.3102532,21,285.32609
1,Abaíra/BA,-13.2503296,-41.6640342,310,3571.01716
D1,Abaíra/BA,-13.2503296,-41.6640342,13,149.75233
1,Abdon Batista/SC,-27.612419,-51.022992,416,16416.73244
D1,Abdon Batista/SC,-27.612419,-51.022992,4,157.85320
1,Abel Figueiredo/PA,-4.953001,-48.3958485,1110,14729.29936
D1,Abel Figueiredo/PA,-4.953001,-48.3958485,12,159.23567
1,Abelardo Luz/SC,-26.5705893,-52.3280339,1991,11051.90119
D1,Abelardo Luz/SC,-26.5705893,-52.3280339,61,338.60672
1,Abre Campo/MG,-20.2976097,-42.4764741,1338,9959.80348
D1,Abre Campo/MG,-20.2976097,-42.4764741,17,126.54459
1,Abreu e Lima/PE,-7.900719,-34.898389,3751,3724.99950
D1,Abreu e Lima/PE,-7.900719,-34.898389,251,249.26016
1,Abreulândia/TO,-9.6221526,-49.1558343,351,13453.43043
D1,Abreulândia/TO,-9.6221526,-49.1558343,8,306.63089
1,Acaiaca/MG,-20.3621646,-43.1444162,243,6082.60325
