ibge,city,state,region,pop2019,pop2020,pop2021,isCountryside,cod_RegiaoDeSaude,name_RegiaoDeSaude,ibge_id
2600054,Abreu e Lima/PE,PE,Nordeste,99990,100346,100698,0,26010,Recife,2600054
2600104,Afogados da Ingazeira/PE,PE,Nordeste,37259,37404,37546,1,26001,Afogados da Ingazeira,2600104
2600203,Afrânio/PE,PE,Nordeste,19635,19810,19981,1,26009,Petrolina,2600203
2600302,Agrestina/PE,PE,Nordeste,24885,25065,25240,1,26003,Caruaru,2600302
2600401,Água Preta/PE,PE,Nordeste,36771,37082,37386,1,26008,Palmares,2600401
2600500,Águas Belas/PE,PE,Nordeste,43443,43686,43923,1,26004,Garanhuns,2600500
2600609,Alagoinha/PE,PE,Nordeste,14636,14718,14798,1,26003,Caruaru,2600609
2600708,Aliança/PE,PE,Nordeste,38386,38397,38408,1,26005,Goiana,2600708
2600807,Altinho/PE,PE,Nordeste,22972,22984,22996,1,26003,Caruaru,2600807
2600906,Amaraji/PE,PE,Nordeste,22829,22870,22910,1,26008,Palmares,2600906
2601003,Angelim/PE,PE,Nordeste,11150,11226,11301,1,26004,Garanhuns,2601003
2601052,Araçoiaba/PE,PE,Nordeste,20524,20733,20936,0,26010,Recife,2601052
2601102,Araripina/PE,PE,Nordeste,84418,84864,85301,1,26007,Ouricuri,2601102
2601201,Arcoverde/PE,PE,Nordeste,74338,74822,75295,1,26002,Arcoverde,2601201
2601300,Barra de Guabiraba/PE,PE,Nordeste,14385,14510,14632,1,26003,Caruaru,2601300
2601409,Barreiros/PE,PE,Nordeste,42659,42764,42866,1,26008,Palmares,2601409
2601508,Belém de Maria/PE,PE,Nordeste,12073,12122,12169,1,26008,Palmares,2601508
2601607,Belém do São Francisco/PE,PE,Nordeste,20729,20730,20730,1,26011,Salgueiro,2601607
2601706,Belo Jardim/PE,PE,Nordeste,76439,76687,76930,1,26003,Caruaru,2601706
2601805,Betânia/PE,PE,Nordeste,12719,12765,12811,1,26012,Serra Talhada,2601805
2601904,Bezerros/PE,PE,Nordeste,60798,60880,60960,1,26003,Caruaru,2601904
2602001,Bodocó/PE,PE,Nordeste,38146,38378,38605,1,26007,Ouricuri,2602001
2602100,Bom Conselho/PE,PE,Nordeste,48554,48767,48975,1,26004,Garanhuns,2602100
2602209,Bom Jardim/PE,PE,Nordeste,39184,39983,40038,1,26006,Limoeiro,2602209
2602308,Bonito/PE,PE,Nordeste,38134,38117,38101,1,26003,Caruaru,2602308
2602407,Brejão/PE,PE,Nordeste,8993,8987,8981,1,26004,Garanhuns,2602407
2602506,Brejinho/PE,PE,Nordeste,7487,7488,7489,1,26001,Afogados da Ingazeira,2602506
2602605,Brejo da Madre de Deus/PE,PE,Nordeste,50742,51225,51696,1,26003,Caruaru,2602605
